time,addr,bus,data
802.247155163,533,1,b41c90f2e0000152
802.247155163,534,1,b4fff800000000cb
802.247155163,535,1,b4fff800000000cc
802.247155163,536,1,b4087e0420001090
802.247155163,537,1,b4042e00e00001ea
802.247155163,538,1,b41774de40fff070
802.247155163,539,1,b409f2eca0000060
802.247155163,540,1,b40c580540000083
802.247155163,541,1,b4205ef32000309c
802.247155163,1571,0,1900000000000000
802.247155163,1571,130,1900000000000000
802.251736256,4097,CarState,ffffffff00000000
802.251736256,4098,CarState,ffffd88b0000101e
802.251736256,4099,CarState,002712
802.251736256,4096,CarState,0000000000000000
802.257152454,180,0,00000000cc000088
802.257152454,180,130,00000000cc000088
802.257152454,37,0,0ff9000050000085
802.257152454,37,130,0ff9000050000085
802.257152454,547,0,000000000000002d
802.257152454,547,130,000000000000002d
802.257152454,36,0,020001f1420380e5
802.257152454,36,130,020001f1420380e5
802.257152454,740,128,f7000000e2
802.257152454,296,129,f40190830037
802.257152454,835,128,fb1063c00000007c
802.257152454,643,128,0000000000008c
802.257152454,550,1,b4000000000000e4
802.257152454,836,128,0000010000000050
802.257152454,551,1,b4000000000000e5
802.257152454,740,2,800000006b
802.257152454,552,1,b4f6357244c5
802.257152454,553,1,b400646244ef
802.257152454,170,0,1a6f1a6f1a6f1a6f
802.257152454,554,1,b4fc00c244e8
802.257152454,170,130,1a6f1a6f1a6f1a6f
802.257152454,555,1,b4000090c83f
802.257152454,556,1,b40203a048d5
802.257152454,557,1,b40803b248ee
802.257152454,558,1,b40000b048e2
802.257152454,559,1,b4000092c845
802.257152454,291,1,0108090d40008a
802.257152454,560,1,b47fff3eb80061
802.257152454,561,1,b401f5f2000003da
802.257152454,562,1,b400fe00fe00feea
802.257152454,976,1,5a80808080808035
802.257152454,977,1,5a80808080808036
802.257152454,978,1,5a80808080808037
802.257152454,979,1,5a80808080808038
802.257152454,513,0,01ec03d508d4
802.257152454,513,130,01ec03d508d4
802.257152454,466,0,f830f4ec02f07045
802.257152454,466,130,f830f4ec02f07045
802.257152454,800,0,0001ff000000002b
802.257152454,800,130,0001ff000000002b
802.257152454,1572,0,1a00414949400000
802.257152454,1572,130,1a00414949400000
802.2616492249999,4097,CarState,ffffffff00000000
802.2616492249999,4098,CarState,ffffd8f000000fce
802.2616492249999,4099,CarState,002712
802.2616492249999,4096,CarState,0000000000000000
802.267157558,37,0,0ff9000050000085
802.267157558,37,130,0ff9000050000085
802.267157558,464,0,0000100000a2008b
802.267157558,464,130,0000100000a2008b
802.267157558,36,0,020001f1420380e5
802.267157558,36,130,020001f1420380e5
802.267157558,740,128,f9000000e4
802.267157558,705,0,00024e01a3d20091
802.267157558,705,130,00024e01a3d20091
802.267157558,608,0,0800030000000075
802.267157558,608,130,0800030000000075
802.267157558,170,0,1a6f1a6f1a6f1a6f
802.267157558,452,0,043b1c0800004070
802.267157558,452,130,043b1c0800004070
802.267157558,186,0,01f100b0
802.267157558,186,130,01f100b0
802.267157558,548,0,0000000000000008
802.267157558,548,130,0000000000000008
802.267157558,321,129,00000046
802.267157558,512,128,000000000e2c
802.267157558,467,0,00a8418100000046
802.267157558,467,130,00a8418100000046
802.267157558,352,129,0000081201319c51
802.267157558,353,129,001e0000008007
802.267157558,1596,0,98005a5245172060
802.267157558,1596,130,98005a5245172060
802.271826621,4097,CarState,ffffffff00000000
802.271826621,4098,CarState,ffffd8f000000fce
802.271826621,4099,CarState,002712
802.271826621,4096,CarState,0000000000000000
802.277156829,180,0,00000000cc000088
802.277156829,180,130,00000000cc000088
802.277156829,37,0,0ff9000050000085
802.277156829,37,130,0ff9000050000085
802.277156829,547,0,000000000000002d
802.277156829,547,130,000000000000002d
802.277156829,36,0,01ff01f1420580e5
802.277156829,36,130,01ff01f1420580e5
802.277156829,740,128,fb000000e6
802.277156829,170,130,1a6f1a6f1a6f1a6f
802.277156829,513,0,01ed03d50969
802.277156829,513,130,01ed03d50969
802.277156829,552,0,800000ae
802.277156829,552,130,800000ae
802.277156829,576,1,4000100100100100
802.277156829,577,1,4000100100100100
802.277156829,580,1,4000100100100100
802.277156829,581,1,4000100100100100
802.277156829,584,1,4000010000000001
802.277156829,610,0,0000000b74
802.277156829,610,130,0000000b74
802.277156829,426,0,0000000000b1
802.277156829,426,130,0000000000b1
802.277156829,1163,2,6606080a02000000
802.277156829,1163,128,6606080a02000000
802.277156829,1597,0,99004445584e4b00
802.277156829,1597,130,99004445584e4b00
802.277156829,1600,0,a800004501a00000
802.277156829,1600,130,a800004501a00000
802.282111881,4097,CarState,ffffffff00000000
802.282111881,4098,CarState,ffffd8f00000101e
802.282111881,4099,CarState,002712
802.282111881,4096,CarState,0000000000000000
802.287152298,37,0,0ff9000050000085
802.287152298,37,130,0ff9000050000085
802.287152298,36,0,020001f1420580e7
802.287152298,36,130,020001f1420580e7
802.287152298,740,128,fd000000e8
802.287152298,296,129,f40190830037
802.287152298,835,128,fb1063c00000007c
802.287152298,643,128,0000000000008c
802.287152298,740,2,840000006f
802.287152298,608,0,0800030000000075
802.287152298,608,130,0800030000000075
802.287152298,170,0,1a6f1a6f1a6f1a6f
802.287152298,170,130,1a6f1a6f1a6f1a6f
802.287152298,452,0,04391c080000406e
802.287152298,452,130,04391c080000406e
802.287152298,186,0,01f100b0
802.287152298,186,130,01f100b0
802.287152298,548,0,0000000000000008
802.287152298,548,130,0000000000000008
802.287152298,321,129,00000046
802.287152298,512,128,000000000f9a
802.287152298,466,0,f830f4ec02ec7041
802.287152298,466,130,f830f4ec02ec7041
802.287152298,528,1,b5fff800000000c6
802.287152298,529,1,b5fff800000000c7
802.287152298,1664,0,d800010000000000
802.287152298,1664,130,d800010000000000
802.2916953189999,4097,CarState,ffffffff00000000
802.2916953189999,4098,CarState,ffffd8f00000101e
